date,Overseas,UK,UK average,Overseas average,ratio,ratio average
2020-03-01,22,65,,,2.9545454545454546,
2020-03-02,27,91,,,3.3703703703703702,
2020-03-03,8,48,,,6.0,
2020-03-04,14,54,,,3.857142857142857,
2020-03-05,25,92,,,3.68,
2020-03-06,18,38,,,2.111111111111111,
2020-03-07,22,60,64.0,19.428571428571427,2.727272727272727,3.5286346457775033
2020-03-08,14,67,64.28571428571429,18.285714285714285,4.785714285714286,3.790230193087336
2020-03-09,13,49,58.285714285714285,16.285714285714285,3.769230769230769,3.8472102500673935
2020-03-10,6,51,58.714285714285715,16.0,8.5,4.204353107210251
2020-03-11,16,44,57.285714285714285,16.285714285714285,2.75,4.046189841904128
2020-03-12,20,70,54.142857142857146,15.571428571428571,3.5,4.020475556189842
2020-03-13,28,131,67.42857142857143,17.0,4.678571428571429,4.387255601541315
2020-03-14,24,100,73.14285714285714,17.285714285714285,4.166666666666667,4.592883307169022
2020-03-15,20,83,75.42857142857143,18.142857142857142,4.15,4.50206698063841
2020-03-16,54,214,99.0,24.0,3.962962962962963,4.529743008314437
2020-03-17,54,267,129.85714285714286,30.857142857142858,4.944444444444445,4.021806500377929
2020-03-18,71,256,160.14285714285714,38.714285714285715,3.6056338028169015,4.144039900780344
2020-03-19,119,425,210.85714285714286,52.857142857142854,3.5714285714285716,4.154243982412997
2020-03-20,120,544,269.85714285714283,66.0,4.533333333333333,4.133495683093268
2020-03-21,130,506,327.85714285714283,81.14285714285714,3.8923076923076922,4.09430154389913
2020-03-22,171,773,426.42857142857144,102.71428571428571,4.52046783625731,4.147225520507317
2020-03-23,44,156,418.14285714285717,101.28571428571429,3.5454545454545454,4.087581460863257
2020-03-24,25,131,398.7142857142857,97.14285714285714,5.24,4.129803683085479
2020-03-25,21,222,393.85714285714283,90.0,10.571428571428571,5.124917221458574
2020-03-26,40,175,358.14285714285717,78.71428571428571,4.375,5.239713139825922
2020-03-27,35,134,299.57142857142856,66.57142857142857,3.8285714285714287,5.139032867717078
2020-03-28,44,245,262.2857142857143,54.285714285714285,5.568181818181818,5.378443457127667
2020-03-29,35,301,194.85714285714286,34.857142857142854,8.6,5.961233766233766
2020-03-30,41,185,199.0,34.42857142857143,4.512195121951219,6.099339562876147
2020-03-31,24,177,205.57142857142858,34.285714285714285,7.375,6.404339562876148
2020-04-01,44,377,227.71428571428572,37.57142857142857,8.568181818181818,6.11816145526947
2020-04-02,58,363,254.57142857142858,40.142857142857146,6.258620689655173,6.387250125220207
2020-04-03,45,273,274.42857142857144,41.57142857142857,6.066666666666666,6.706978016376671
2020-04-04,53,349,289.2857142857143,42.857142857142854,6.584905660377358,6.852224279547462
2020-04-05,37,219,277.57142857142856,43.142857142857146,5.918918918918919,6.4692126965358785
2020-04-06,33,203,280.14285714285717,42.0,6.151515151515151,6.703401272187869
2020-04-07,46,184,281.14285714285717,45.142857142857146,4.0,6.221258415045012
2020-04-08,36,309,271.42857142857144,44.0,8.583333333333334,6.223422917209514
2020-04-09,59,353,270.0,44.142857142857146,5.983050847457627,6.18405579689558
2020-04-10,33,276,270.42857142857144,42.42857142857143,8.363636363636363,6.512194325034108
2020-04-11,46,168,244.57142857142858,41.42857142857143,3.652173913043478,6.093232646843553
2020-04-12,35,176,238.42857142857142,41.142857142857146,5.0285714285714285,5.966040148222484
2020-04-13,29,217,240.42857142857142,40.57142857142857,7.482758620689655,6.156217786675983
2020-04-14,33,182,240.14285714285714,38.714285714285715,5.515151515151516,6.3726680031262
2020-04-15,26,202,224.85714285714286,37.285714285714285,7.769230769230769,6.256367636825835
2020-04-16,44,263,212.0,35.142857142857146,5.9772727272727275,6.255542191085134
2020-04-17,51,266,210.57142857142858,37.714285714285715,5.215686274509804,5.805835035495625
2020-04-18,59,358,237.71428571428572,39.57142857142857,6.067796610169491,6.150923992227914
2020-04-19,34,155,234.71428571428572,39.42857142857143,4.5588235294117645,6.083817149490818
2020-04-20,29,229,236.42857142857142,39.42857142857143,7.896551724137931,6.14293044998343
2020-04-21,35,253,246.57142857142858,39.714285714285715,7.228571428571429,6.387704723329131
2020-04-22,30,237,251.57142857142858,40.285714285714285,7.9,6.406386042010449
2020-04-23,138,768,323.7142857142857,53.714285714285715,5.565217391304348,6.347520994014967
2020-04-24,86,453,350.42857142857144,58.714285714285715,5.267441860465116,6.35491464915144
2020-04-25,114,570,380.7142857142857,66.57142857142857,5.0,6.202372276270084
2020-04-26,76,428,419.7142857142857,72.57142857142857,5.631578947368421,6.355623050263893
2020-04-27,90,599,472.57142857142856,81.28571428571429,6.655555555555556,6.178337883323552
2020-04-28,39,308,480.42857142857144,81.85714285714286,7.897435897435898,6.2738899503041905
2020-04-29,27,180,472.2857142857143,81.42857142857143,6.666666666666667,6.097699474113715
2020-04-30,29,401,419.85714285714283,65.85714285714286,13.827586206896552,7.278037876341173
2020-05-01,28,196,383.14285714285717,57.57142857142857,7.0,7.5255461819890135
2020-05-02,32,153,323.57142857142856,45.857142857142854,4.78125,7.4942961819890135
2020-05-03,15,96,276.14285714285717,37.142857142857146,6.4,7.6040706180792395
2020-05-04,21,110,206.28571428571428,27.285714285714285,5.238095238095238,7.401576287013479
2020-05-05,41,167,186.14285714285714,27.571428571428573,4.073170731707317,6.855252691909397
2020-05-06,31,136,179.85714285714286,28.142857142857142,4.387096774193548,6.529599850127523
2020-05-07,21,126,140.57142857142858,27.0,6.0,5.411373249142301
2020-05-08,5,42,118.57142857142857,23.714285714285715,8.4,5.611373249142301
2020-05-09,19,145,117.42857142857143,21.857142857142858,7.631578947368421,6.01856309876636
2020-05-10,29,151,125.28571428571429,23.857142857142858,5.206896551724138,5.848119749012667
2020-05-11,34,131,128.28571428571428,25.714285714285715,3.8529411764705883,5.650240597352002
2020-05-12,30,154,126.42857142857143,24.142857142857142,5.133333333333334,5.80169239758429
2020-05-13,25,262,144.42857142857142,23.285714285714285,10.48,6.672107144128069
2020-05-14,36,178,151.85714285714286,25.428571428571427,4.944444444444445,6.521313493334418
2020-05-15,35,179,171.42857142857142,29.714285714285715,5.114285714285714,6.051925738232377
2020-05-16,34,146,171.57142857142858,31.857142857142858,4.294117647058823,5.575145552473864
2020-05-17,21,83,161.85714285714286,30.714285714285715,3.9523809523809526,5.395929038281979
2020-05-18,24,137,162.71428571428572,29.285714285714285,5.708333333333333,5.660985060690943
2020-05-19,20,137,160.28571428571428,27.857142857142858,6.85,5.906223155929039
2020-05-20,38,167,146.71428571428572,29.714285714285715,4.394736842105263,5.036899847658361
2020-05-21,30,174,146.14285714285714,28.857142857142858,5.8,5.159122069880583
