date,Overseas,UK,UK average,Overseas average
2019-04-23,112,246,,
2019-04-24,135,253,,
2019-04-25,178,436,,
2019-04-26,124,288,,
2019-04-27,84,255,,
2019-04-28,82,225,,
2019-04-29,104,236,277.0,117.0
2019-04-30,77,224,273.85714285714283,112.0
2019-05-01,58,166,261.42857142857144,101.0
2019-05-02,128,367,251.57142857142858,93.85714285714286
2019-05-03,104,277,250.0,91.0
2019-05-04,89,185,240.0,91.71428571428571
2019-05-05,89,219,239.14285714285714,92.71428571428571
2019-05-06,91,189,232.42857142857142,90.85714285714286
2019-05-07,73,171,224.85714285714286,90.28571428571429
2019-05-08,97,233,234.42857142857142,95.85714285714286
2019-05-09,112,353,232.42857142857142,93.57142857142857
2019-05-10,124,276,232.28571428571428,96.42857142857143
2019-05-11,113,190,233.0,99.85714285714286
2019-05-12,78,146,222.57142857142858,98.28571428571429
2019-05-13,79,148,216.71428571428572,96.57142857142857
2019-05-14,101,240,226.57142857142858,100.57142857142857
2019-05-15,80,187,220.0,98.14285714285714
2019-05-16,93,343,218.57142857142858,95.42857142857143
2019-05-17,106,298,221.71428571428572,92.85714285714286
2019-05-18,67,217,225.57142857142858,86.28571428571429
2019-05-19,68,212,235.0,84.85714285714286
2019-05-20,74,210,243.85714285714286,84.14285714285714
2019-05-21,52,193,237.14285714285714,77.14285714285714
2019-05-22,53,185,236.85714285714286,73.28571428571429
2019-05-23,75,280,227.85714285714286,70.71428571428571
2019-05-24,89,324,231.57142857142858,68.28571428571429
2019-05-25,65,212,230.85714285714286,68.0
2019-05-26,83,267,238.71428571428572,70.14285714285714
2019-05-27,81,199,237.14285714285714,71.14285714285714
2019-05-28,78,239,243.71428571428572,74.85714285714286
2019-05-29,49,297,259.7142857142857,74.28571428571429
2019-05-30,87,250,255.42857142857142,76.0
2019-05-31,70,227,241.57142857142858,73.28571428571429
2019-06-01,56,168,235.28571428571428,72.0
2019-06-02,73,206,226.57142857142858,70.57142857142857
2019-06-03,66,159,220.85714285714286,68.42857142857143
2019-06-04,71,210,216.71428571428572,67.42857142857143
2019-06-05,81,138,194.0,72.0
2019-06-06,37,120,175.42857142857142,64.85714285714286
2019-06-07,65,216,173.85714285714286,64.14285714285714
2019-06-08,43,107,165.14285714285714,62.285714285714285
2019-06-09,57,189,162.71428571428572,60.0
2019-06-10,59,158,162.57142857142858,59.0
2019-06-11,64,186,159.14285714285714,58.0
2019-06-12,56,133,158.42857142857142,54.42857142857143
2019-06-13,72,270,179.85714285714286,59.42857142857143
2019-06-14,58,192,176.42857142857142,58.42857142857143
2019-06-15,67,151,182.71428571428572,61.857142857142854
2019-06-16,24,167,179.57142857142858,57.142857142857146
2019-06-17,70,170,181.28571428571428,58.714285714285715
2019-06-18,70,182,180.71428571428572,59.57142857142857
2019-06-19,71,157,184.14285714285714,61.714285714285715
2019-06-20,105,298,188.14285714285714,66.42857142857143
2019-06-21,117,1178,329.0,74.85714285714286
2019-06-22,85,511,380.42857142857144,77.42857142857143
2019-06-23,89,524,431.42857142857144,86.71428571428571
2019-06-24,73,416,466.57142857142856,87.14285714285714
2019-06-25,63,333,488.14285714285717,86.14285714285714
2019-06-26,128,408,524.0,94.28571428571429
2019-06-27,117,371,534.4285714285714,96.0
2019-06-28,77,310,410.42857142857144,90.28571428571429
2019-06-29,91,375,391.0,91.14285714285714
2019-06-30,74,310,360.42857142857144,89.0
2019-07-01,77,293,342.85714285714283,89.57142857142857
2019-07-02,81,340,343.85714285714283,92.14285714285714
2019-07-03,106,275,324.85714285714283,89.0
2019-07-04,109,260,309.0,87.85714285714286
2019-07-05,107,458,330.14285714285717,92.14285714285714
2019-07-06,79,268,314.85714285714283,90.42857142857143
2019-07-07,119,299,313.2857142857143,96.85714285714286
2019-07-08,97,211,301.57142857142856,99.71428571428571
2019-07-09,60,194,280.7142857142857,96.71428571428571
2019-07-10,71,187,268.14285714285717,91.71428571428571
2019-07-11,87,196,259.0,88.57142857142857
2019-07-12,104,380,247.85714285714286,88.14285714285714
2019-07-13,65,290,251.0,86.14285714285714
2019-07-14,107,198,236.57142857142858,84.42857142857143
2019-07-15,76,258,243.28571428571428,81.42857142857143
2019-07-16,102,310,259.85714285714283,87.42857142857143
2019-07-17,112,325,279.57142857142856,93.28571428571429
2019-07-18,100,306,295.2857142857143,95.14285714285714
2019-07-19,82,440,303.85714285714283,92.0
2019-07-20,81,441,325.42857142857144,94.28571428571429
2019-07-21,61,245,332.14285714285717,87.71428571428571
2019-07-22,61,207,324.85714285714283,85.57142857142857
2019-07-23,262,1155,445.57142857142856,108.42857142857143
2019-07-24,240,750,506.2857142857143,126.71428571428571
2019-07-25,151,416,522.0,134.0
2019-07-26,175,1154,624.0,147.28571428571428
2019-07-27,124,468,627.8571428571429,153.42857142857142
2019-07-28,94,400,650.0,158.14285714285714
2019-07-29,103,336,668.4285714285714,164.14285714285714
2019-07-30,113,294,545.4285714285714,142.85714285714286
2019-07-31,73,182,464.2857142857143,119.0
2019-08-01,148,337,453.0,118.57142857142857
2019-08-02,90,176,313.2857142857143,106.42857142857143
2019-08-03,70,153,268.2857142857143,98.71428571428571
2019-08-04,60,258,248.0,93.85714285714286
2019-08-05,73,193,227.57142857142858,89.57142857142857
2019-08-06,64,181,211.42857142857142,82.57142857142857
2019-08-07,51,209,215.28571428571428,79.42857142857143
2019-08-08,75,199,195.57142857142858,69.0
2019-08-09,116,255,206.85714285714286,72.71428571428571
2019-08-10,78,182,211.0,73.85714285714286
